TITLE,YEAR,RATING,REVIEWS,POPULARITY,CAST,DIRECTOR,GENRE,LANGUAGE
Pithamagan,2003,8.3,6800,46821,Vikram,Bala,Action,Telugu
Carry On Munna Bhai,2006,8,47000,27457,Sanjay Dutt,Rajkumar Hirani,Comedy,Hindi
Kaun Pravin Tambe?,2022,8.5,9400,10287,Shreyas Talpade,Jayprad Desai,Biopic,Hindi
Shershaah,2021,8.4,118000,6122,Sidharth Malhotra,Vishnuvardhan,War-film,Hindi
Charulata,1964,8.1,6400,23377,Soumitra Chatterjee,Satyajit Ray,Horror,Hindi
Anand,1971,8.1,34000,26777,Rajesh Khanna,Hrishikesh Mukherjee,Romance,Hindi
Section 375,2019,8.1,16000,16687,Akshaye Khanna,Ajay Bahl,Thriller,Hindi
Alai Payuthey,2000,8.3,6500,38850,Madhavan,Mani Ratnam,Romance,Tamil
Jana Gana Mana,2022,8.3,9900,2178,Prithviraj Sukumaran,Dijo Jose Antony,Drama,Malayalam
Bajrang Bhaijaan,2015,8.1,86000,9687,Salman Khan,Kabir Khan,Drama,Hindi
Omkara,2006,8.1,21000,15652,Ajay Devgn,Vishal Bhardwaj,Crime,Hindi
Lucia,2013,8.3,12000,50467,Sathish Neenasam,Pawan Kumar,Thriller,Kannada
Bombay,1995,8.1,13000,31449,Arvind Swamy,Mani Ratnam,Romance,Tamil
K.G.F. Chapter 2,2022,8.4,114000,1008,Yash,Prashanth Neel,Action,Kannada
Oru Vadakkan Veeragatha,1989,8.7,5600,71464,Mammootty,T. Hariharan,Drama,Malayalam
Bommarillu,2006,8.2,9500,50757,Siddharth,Bommarillu Baskar,Romance,Telugu
Indian,1996,8.1,13000,27111,Kamal Haasan,S. Shankar,Drama,Tamil
K.G.F. Chapter 1,2018,8.2,79000,3819,Yash,Prashanth Neel,Action,Kannada
The Great Indian Kitchen,2021,8.2,8400,21281,Nimisha Sajayan,Jeo Baby,Drama,Malayalam
Haider,2014,8.1,55000,11527,Shahid Kapoor,Vishal Bhardwaj,Crime,Hindi
Rangasthalam 1985,2018,8.2,24000,7455,Ram Charan,Sukumar,Drama,Telugu
Mughal-E-Azam,1960,8.1,8200,34170,Prithviraj Kapoor,K. Asif,Historic,Hindi
Dilwale Dulhania Le Jayenge,1995,8,69000,9642,Shah Rukh Khan,Aditya Chopra,Romance,Hindi
Special 26,2013,8,56000,22961,Akshay Kumar,Neeraj Pandey,Thriller,Hindi
Maqbool,2003,8,11000,19840,Irrfan Khan,Vishal Bhardwaj,Crime,Hindi
Athadu,2005,8.2,14000,67887,Mahesh Babu,Trivikram Srinivas,Drama,Telugu
Andaz Apna Apna,1994,8,53000,14007,Aamir Khan,Rajkumar Santoshi,Comedy,Hindi
Maanaadu,2021,8.3,22000,8680,Silambarasan Rajendar,Venkat Prabhu,Thriller,Tamil
Thadam,2019,8.2,7200,29772,Arun Vijay,Magizh Thirumeni,Crime,Tamil
Padayappa,1999,8.2,7000,66553,Rajinikanth,K.S. Ravikumar,Drama,Tamil
Pelli Choopulu,2016,8.2,7400,29247,Vijay Deverakonda,Tharun Bhascker Dhaassyam,Romance,Telugu
Vaaranam Aayiram,2008,8.2,13000,34653,Suriya,Gautham Vasudev Menon,Action,Tamil
Android Kunjappan Version 5.25,2019,8.2,5900,30179,Soubin Shahir,Ratheesh Balakrishnan Poduval,Sci-Fi,Malayalam
Gulaal,2009,8,15000,24505,Kay Kay Menon,Anurag Kashyap,Drama,Hindi
Gully Boy,2019,7.9,39000,7171,Ranveer Singh,Zoya Akhtar,Biopic,Hindi
Naduvula Konjam Pakkatha Kaanom,2012,8.2,5900,55549,Vijay Sethupathi,Balaji Tharaneetharan,Dark Comedy,Tamil
Ugly,2013,7.9,22000,15004,Rahul Bhatt,Anurag Kashyap,Thriller,Hindi
Badhaai ho,2018,8,34000,10259,Sanya Malhotra,Amit Ravindernath Sharma,Drama,Hindi
Deewaar,1975,8,11000,27694,Amitabh Bachchan,Yash Chopra,Action,Hindi
Vaastav: The Reality,1999,8,14000,26650,Sanjay Dutt,Mahesh Manjrekar,Action,Hindi
Company,2002,8,15000,26062,Ajay Devgn,Ram Gopal Varma,Crime,Hindi
Evaru,2019,8.2,5800,9098,Adivi Sesh,Venkat Ramji,Thriller,Telugu
Kshanam,2016,8.2,5500,23816,Adivi Sesh,Ravikanth Perepu,Thriller,Telugu
Ulidavaru Kandanthe,2014,8.4,8100,43208,Kishore Kumar G.,Rakshit Shetty,Thriller,Malayalam
Padosan,1968,8,6900,96355,Sunil Dutt,Jyoti Swaroop,Comedy,Hindi
Aadukalam,2011,8.1,6300,25140,Dhanush,Vetrimaaran,Drama,Tamil
Maanagaram,2017,8.1,6000,8325,Sundeep Kishan,Lokesh Kanagaraj,Thriller,Tamil
Nayattu,2021,8.1,7100,21944,Kunchacko Boban,Martin Prakkat,Action,Malayalam
Thondimuthalum Dhriksakshiyum,2017,8.1,6600,22962,Fahadh Faasil,Dileesh Pothan,Crime,Malayalam
Dev. D,2009,7.9,31000,14466,Abhay Deol,Anurag Kashyap,Dark Comedy,Hindi
Major,2022,8.3,18000,274,Adivi Sesh,Sashi Kiran Tikka,Biopic,Telugu
My Name is Khan,2010,7.9,106000,7077,Shah Rukh Khan,Karan Johar,Drama,Hindi
Pranchiyettan and the Saint,2010,8.3,5800,56778,Jesse Fox Allen,Ranjith,Comedy,Malayalam
Take Off,2017,8.1,6400,29390,Fahadh Faasil,Mahesh Narayanan,Thriller,Malayalam
Kal Ho Naa Ho,2003,7.9,69000,6944,Shah Rukh Khan,Nikkhil Advani,Romance,Hindi
Baishe Srabon,2011,8.1,5400,73984,Prasenjit Chatterjee,Srijit Mukherji,Thriller,Bengali
Arjun Reddy,2017,8,25000,12968,Vijay Deverakonda,Sandeep Reddy Vanga,Romance,Telugu
Jab We Met,2007,7.9,53000,9740,Shahid Kapoor,Imtiaz Ali,Romance,Hindi
Manjhi: The Mountain Man,2015,8,19000,48718,Nawazuddin Siddiqui,Ketan Mehta,Biopic,Hindi
Ayyappanum Koshiyum,2020,8,8200,13272,Biju Menon,Sachy,Drama,Malayalam
Super 30,2019,7.9,31000,13577,Hrithik Roshan,Vikas Bahl,Biopic,Hindi
Dil Bechara,2020,8.1,130000,14936,Sushant Singh Rajput,Mukesh Chhabra,Romance,Hindi
Mukkabaaz,2017,8,7600,24000,Vineet Kumar Singh,Anurag Kashyap,Drama,Hindi
Karnan,2021,8.1,21000,8705,Dhanush,Mari Selvaraj,Drama,Tamil
Deiva Thirumagal,2011,8.2,5900,60280,Vikram,A.L. Vijay,Drama,Tamil
Border,1997,7.9,16000,34317,Sunny Deol,J.P. Dutta,War-film,Hindi
Ship of Theseus,2012,8,7400,21690,Aydah El-Kashef,Anand Gandhi,Sci-Fi,Hindi
Jalsaghar,1958,7.9,6000,25230,Chhabi Biswas,Satyajit Ray,Drama,Bengali
Vedam,2010,8.1,8100,41005,Allu Arjun,Radha Krishna Jagarlamudi,Anthology,Telugu
Charlie,2015,8,11000,28147,Dulquer Salmaan,Martin Prakkat,Drama,Malayalam
Pad Man,2018,7.9,26000,16100,Akshay Kumar,R. Balki,Comedy,Hindi
RRR,2022,8,88000,47,N.T. Rama Rao Jr.,S.S. Rajamouli,Drama,Telugu
Salaam Bombay!,1988,7.9,9400,16395,Shafiq Syed,Mira Nair,Action,Hindi
Baahubali : The Beginning,2015,8,120000,1616,Prabhas,S.S. Rajamouli,Drama,Telugu
Ankhon Dekhi,2013,7.9,12000,21536,Sanjay Mishra,Rajat Kapoor,Drama,Hindi
Baby,2015,7.9,57000,20854,Akshay Kumar,Neeraj Pandey,Action,Hindi
Vinnaithaandi Varuvaayaa,2010,8.1,6000,51257,Silambarasan Rajendar,Gautham Vasudev Menon,Romance,Tamil
Malik,2021,8.1,13000,7924,Fahadh Faasil,Mahesh Narayanan,Drama,Malayalam
Pizza,2012,8,7900,16903,Vijay Sethupathi,Karthik Subbaraj,Horror,Tamil
M.S. Dhoni: The Untold Story,2016,7.9,55000,16860,Sushant Singh Rajput,Neeraj Pandey,Biopic,Hindi
Kirik Party,2016,8.2,5800,28835,Rakshit Shetty,Rishab Shetty,Drama,Malayalam
English Vinglish,2012,7.8,36000,27696,Sridevi,Gauri Shinde,Comedy,Hindi
Hindi Medium,2017,7.8,29000,11587,Irrfan Khan,Saket Chaudhary,Comedy,Hindi
Lakshya,2004,7.9,23000,18277,Hrithik Roshan,Farhan Akhtar,Drama,Hindi
Dor,2006,7.9,6000,55847,Ayesha Takia,Nagesh Kukunoor,Drama,Hindi
Memories,2013,8,7200,42161,Prithviraj Sukumaran,Jeethu Joseph,Thriller,Malayalam
Airlift,2016,7.9,57000,13996,Akshay Kumar,Raja Menon,Thriller,Hindi
Johnny Gaddaar,2007,7.9,12000,40047,Dharmendra,Sriram Raghavan,Thriller,Hindi
Hey Ram,2000,7.9,13000,11707,Kamal Haasan,Kamal Haasan,Drama,Tamil
Joseph,2018,8,5500,35330,Joju George,M. Padmakumar,Thriller,Malayalam
Kaakha..Kaakha: The Police,2003,8,6400,46483,Suriya,Gautham Vasudev Menon,Romance,Tamil
Hridayam,2022,8.1,11000,7552,Pranav Mohanlal,Vineeth Sreenivasan,Drama,Malayalam
The Tashkent Files,2019,8.1,33000,10801,Shweta Basu Prasad,Vivek Agnihotri,Biopic,Hindi
Gangaajal,2003,7.8,17000,42932,Ajay Devgn,Prakash Jha,Crime,Hindi
Anjaam Pathiraa,2020,7.9,7100,23336,Kunchacko Boban,Midhun Manuel Thomas,Crime,Malayalam
Vettaiyaadu Vilaiyaadu,2006,7.9,7600,52759,Kamal Haasan,Gautham Vasudev Menon,Crime,Tamil
